"id","text","question_id"
"37","A.
keep in mind the cultural effects caused by a society's level of literacy.  (1%)","10"
"38","B.
strike a balance between intellectual openness and rigid thinking.  (65%)","10"
"39","C.
be receptive to the idea that obvious interpretations may not be correct.  (15%)","10"
"40","D.
avoid closed-mindedness in interpreting cultural practices.  (18%)","10"
"41","A.
their use as an initiation site.  (24%)","11"
"42","B.
their possible purpose.  (68%)","11"
"43","C.
their depiction of the hunt.  (4%)","11"
"44","D.
their display of colorful pigments.  (1%)","11"
"45","A.
I only  (2%)","12"
"46","B.
I and II only  (5%)","12"
"47","C.
I and III only  (37%)","12"
"48","D.
I, II, and III  (53%)","12"
"49","A.
social transition from adolescence to maturity from a psychological viewpoint.  (19%)","13"
"50","B.
essential meaning of initiation rites from a religious viewpoint.  (4%)","13"
"51","C.
relationship between humans and animals from a mythological viewpoint.  (0%)","13"
"52","D.
practices of a prehistoric culture from an anthropological viewpoint.  (76%)","13"
"53","A.
weak; no examples are provided of the boys having matured following initiation.  (70%)","14"
"54","B.
weak; the boys remained frightened and disoriented after the rites.  (1%)","14"
"55","C.
strong; the elders' supervision of the initiation rites ensured the boys' maturation.  (6%)","14"
"56","D.
strong; the boys experienced the ""sacred time"" described by Eliade.  (21%)","14"
"57","A.
makes the images more realistic.  (10%)","15"
"58","B.
is an innovative technique.  (8%)","15"
"59","C.
gives shape to the painted figure.  (11%)","15"
"60","D.
creates the illusion of movement.  (69%)","15"
"61","A.
Initiation is a voluntary process for the adolescent male.  (1%)","16"
"62","B.
Initiation ceremonies challenge societal expectations.  (4%)","16"
"63","C.
Rituals of initiation are based on long-established values.  (90%)","16"
"64","D.
Trauma inhibits the maturation of adolescents.  (4%)","16"
"65","A.
as an impractical innovation  (6%)","17"
"66","B.
as a result of the Carter family's influence  (14%)","17"
"67","C.
as an unremarkable phenomenon  (19%)","17"
"68","D.
as an object of curiosity  (58%)","17"
"69","A.
that each structure was designed with the purpose of geographical isolation.  (22%)","18"
"70","B.
that each structure incorporated architectural calibrations based on solar movements.  (66%)","18"
"71","C.
that ancient temples were more attuned to celestial phenomena than modern houses of worship.  (7%)","18"
"72","D.
that the church was a typical example of Enlightenment-era architecture whereas the temple's physical orientation was uncommon.  (3%)","18"
"73","A.
The most finely crafted Anglican churches of the eighteenth century were in Virginia.  (5%)","19"
"74","B.
The architecture of Christ Church was likely inspired by the work of Christopher Wren.  (82%)","19"
"75","C.
Christopher Wren was the most prolific architect of colonial America.  (8%)","19"
"76","D.
The Carters were the most religious family in colonial Virginia.  (3%)","19"
"77","A.
the widespread correlation of architectural designs with the phases of the solar cycle.  (36%)","20"
"78","B.
a fundamental need for religious sites to align with astronomical coordinates.  (6%)","20"
"79","C.
a reaction to a disconnection between nature and religion in modern times.  (4%)","20"
"80","D.
an attempt to harmonize supernatural beliefs with the principles of reasoning.  (52%)","20"
"81","A.
elevate the temporal aspects of phenomena over the divine.  (13%)","21"
"82","B.
partially replace worshippers' reliance on the clock and the calendar.  (24%)","21"
"83","C.
measure the elapse between key celestial phenomena.  (48%)","21"
"84","D.
make churchgoers feel as though they are in the eighteenth century.  (13%)","21"
"85","A.
must ignore societal norms about what is considered decent.  (7%)","22"
"86","B.
must be found in media other than television.  (0%)","22"
"87","C.
serves to exemplify beauty or question assumptions.  (55%)","22"
"88","D.
must succeed in expressing a society's values.  (36%)","22"
"89","A.
standards are important for shielding viewers from offensive content.  (14%)","23"
"90","B.
a work must either reflect societal values or challenge them in order to count as art.  (46%)","23"
"91","C.
the effects of watching television are similar to those of encountering art from another culture.  (21%)","23"
"92","D.
censoring how common behaviors are depicted should be considered wrong rather than moral.  (18%)","23"
"93","A.
""[W]orks of art are physical embodiments of a people's mores, experiences, and assumptions.""  (70%)","24"
"94","B.
""The American audiences of American television were not another society at risk of being shocked and frightened by unfamiliar customs, as the Greeks experienced with the Etruscans.""  (12%)","24"
"95","C.
""[M]uch of what modern viewers take for granted would seem indecent to viewers of the past.""  (10%)","24"
"96","D.
""To modern ears, this Greek conception of propriety must sound absurd or even humorous.""  (6%)","24"
"97","A.
Such works are typically misunderstood.  (26%)","25"
"98","B.
They generally reveal the influence of another society.  (8%)","25"
"99","C.
They typically function to critique accepted ideas.  (57%)","25"
"100","D.
Such works generally reveal the artist's aspirations.  (7%)","25"
"101","A.
Studies of ancient art reveal various social and religious differences among civilizations.  (5%)","26"
"102","B.
Art is the source of much conflict both within and between societies.  (12%)","26"
"103","C.
Art can be clearly distinguished from non-art.  (2%)","26"
"104","D.
The existence of art is essentially intertwined with moral ideas and concerns.  (79%)","26"
"105","A.
Objective, as the societal concerns about dancing are described but not evaluated.  (73%)","27"
"106","B.
Approving, as society is expected to have similar concerns about dancing in the future.  (18%)","27"
"107","C.
Surprised, as dancing is generally accepted with socially approved couplings.  (1%)","27"
"108","D.
Amused, as today's dancing would seem much more shocking to 1950s society.  (5%)","27"
"109","A.
Martial arts demonstrations that illustrate the moves from a battle  (21%)","28"
"110","B.
Sailors' flag signals that provide directions to an approaching ship  (9%)","28"
"111","C.
Marching band performances in which members walk in arranged formations  (48%)","28"
"112","D.
Games of charades in which movie titles are guessed from a player's gestures  (20%)","28"
"113","A.
a philosopher examining human nature.  (75%)","29"
"114","B.
a zoologist studying animal behavior.  (19%)","29"
"115","C.
a choreographer designing a routine.  (3%)","29"
"116","D.
a historian describing changes across generations.  (1%)","29"
"117","A.
A study refuting the idea that bee communication depends on odors  (9%)","30"
"118","B.
An editorial debating whether dancing is appropriate at social events for high schoolers  (2%)","30"
"119","C.
An article describing a historical trend for societies to dance more frequently when populations decline  (22%)","30"
"120","D.
An analysis stating that most human communication is non-verbal  (65%)","30"
"121","A.
The phrase ""dance for joy"" is a phenomenon of language that does not describe actual behavior.  (12%)","31"
"122","B.
Dance is a subset of a more general set of emotive behaviors in human beings.  (58%)","31"
"123","C.
The question of why humans dance will never be definitively answered.  (26%)","31"
"124","D.
There is a difference between unstructured dancing and dances with specific steps.  (2%)","31"
"125","A.
the idea that it is comparatively rare to actually dance for joy.  (48%)","32"
"126","B.
the role of dancing in mate selection.  (12%)","32"
"127","C.
the contrast between bee dancing and human dancing.  (30%)","32"
"128","D.
the concern that dance is a corrupting influence.  (7%)","32"
"129","A.
It evolved for similar reasons as animal dance did.  (8%)","33"
"130","B.
It developed in response to specific social pressures.  (10%)","33"
"131","C.
It conveys information, as does animal dance.  (70%)","33"
"132","D.
It is a widely studied aspect of human society.  (10%)","33"
"133","A.
successfully represented the Psalm's aesthetic character.  (68%)","34"
"134","B.
focused on capturing the Psalm's aesthetic presentation.  (8%)","34"
"135","C.
conveyed the Psalm's meaning in natural wording.  (12%)","34"
"136","D.
accurately reflected the meaning of the Hebrew words.  (10%)","34"
"137","A.
To exemplify the difficulty of producing translations that precisely correspond to an original work  (71%)","35"
"138","B.
To make the point that Borges' words have likely been misunderstood  (13%)","35"
"139","C.
To present a crucial difference between translations of the Odyssey and Don Quixote  (7%)","35"
"140","D.
To anticipate the later discussion about more subtle types of translation  (7%)","35"
"141","A.
A genealogical record explaining the royal ancestry of a king  (19%)","36"
"142","B.
A legal proclamation describing the types and quantities of crops to be grown by farmers  (2%)","36"
"143","C.
A love song in which a minstrel praises the charms of his beloved  (62%)","36"
"144","D.
A religious treatise in which a priest decries the people's lack of faith  (15%)","36"
"145","A.
ill-considered.  (10%)","37"
"146","B.
unwarranted.  (4%)","37"
"147","C.
insensitive.  (1%)","37"
"148","D.
disappointing.  (83%)","37"
"149","A.
""[T]he attempt at translating a foreign text is often just a reflection of one's own self.""  (2%)","38"
"150","B.
""The practice of translation is fraught with many problematic issues which…are likely to go unexamined, even unarticulated.""  (18%)","38"
"151","C.
""In literary translation, it is not the transfer of information but of style that is crucial to the effects experienced by the target reader.""  (44%)","38"
"152","D.
""[T]he requirements of literal accuracy and literary accuracy are often in conflict.""  (35%)","38"
"153","A.
encourages a person to affirm religious beliefs.  (1%)","39"
"154","B.
reframes a person's life experiences to emphasize accountability.  (85%)","39"
"155","C.
fails to rival the gravity of metaphysics and teleology.  (1%)","39"
"156","D.
frees a person from unrealistic expectations.  (11%)","39"
"157","A.
reveal the intricacies of fate as less coherent than one might assume.  (20%)","40"
"158","B.
illustrate that the teachings of amor fati are harder to follow than those of Eternal Recurrence.  (4%)","40"
"159","C.
depict Nietzsche's concepts regarding fate as unattainable ideals.  (5%)","40"
"160","D.
intimate that commitment to amor fati is itself a complex act of will.  (70%)","40"
"161","A.
ceaseless recurrence of the same tends to make the present more important.  (81%)","41"
"162","B.
the prospect of repeating events effectively reduces the present to a burden.  (3%)","41"
"163","C.
conscientious individuals should turn their attention from the present to the afterlife.  (1%)","41"
"164","D.
knowledge that the present will repeat infinitely makes time seem less fleeting.  (14%)","41"
"165","A.
that Nietzsche's concept offers an essentially harsh worldview.  (8%)","42"
"166","B.
that the religiously inclined are the most receptive to Nietzsche's concept.  (7%)","42"
"167","C.
that Nietzsche's concept should not be understood as purely hypothetical.  (74%)","42"
"168","D.
that Nietzsche had wanted to avoid using religious or theological language.  (10%)","42"
"169","A.
The proposition that events repeat endlessly may alter how people think about their lives.  (5%)","43"
"170","B.
People are better served by viewing past events in their lives as self-willed rather than predetermined.  (16%)","43"
"171","C.
Believers in Eternal Recurrence lack a moral framework for their conduct.  (50%)","43"
"172","D.
The cyclical nature of time precludes an end point toward which to aim.  (27%)","43"
"173","A.
crime films from previous decades.  (22%)","44"
"174","B.
novels and magazines.  (64%)","44"
"175","C.
existentialism.  (7%)","44"
"176","D.
films of French poetic realism.  (5%)","44"
"177","A.
I only  (2%)","45"
"178","B.
II only  (9%)","45"
"179","C.
I and II only  (19%)","45"
"180","D.
I, II, and III  (68%)","45"
"181","A.
noir is not a matter of clear definition or categorization.  (89%)","46"
"182","B.
noir conventions are indecipherable to viewers of such films.  (5%)","46"
"183","C.
noir films are best understood by movie critics.  (0%)","46"
"184","D.
""noir"" is a vague descriptor applied to too few films.  (4%)","46"
"185","A.
Noir films depict characters fighting against an unchanging destiny.  (56%)","47"
"186","B.
Noir films exhibit striking cinematography that is extremely realistic.  (7%)","47"
"187","C.
Noir films show characters from the perspective of traditional American morality.  (5%)","47"
"188","D.
Noir films depict characters in atypical roles.  (29%)","47"
"189","A.
critics are real experts in noir.  (24%)","48"
"190","B.
the film had little influence on cinematography.  (50%)","48"
"191","C.
Welles' films were occasionally controversial.  (7%)","48"
"192","D.
directors admired it as Welles' masterpiece.  (17%)","48"
"193","A.
An aging boxer who loses all his fights in an illegal boxing ring  (16%)","49"
"194","B.
A business tycoon who is conned out of his fortune  (8%)","49"
"195","C.
An ordinary citizen who is suddenly dragged into a life of crime  (14%)","49"
"196","D.
An alluring woman who sacrifices everything for love  (60%)","49"
"197","A.
A man approaches a street lined with nondescript buildings.  (18%)","50"
"198","B.
A solitary woman overlooks a quiet lake.  (6%)","50"
"199","C.
The entrance to a nightclub is illuminated in vibrant colors.  (10%)","50"
"200","D.
A character's reflection is shown in a cracked mirror.  (63%)","50"
"201","A.
The Templars acquired most of their extensive wealth from King Baldwin II.  (47%)","51"
"202","B.
The Templars had at times given assistance to Philip the Fair before he plotted against them.  (20%)","51"
"203","C.
The Templars who originally founded their order had previously considered just living as monks in the Holy Land.  (25%)","51"
"204","D.
The Templars required their recruits to swear that they would never retreat in battle.  (6%)","51"
"205","A.
the number of recruits to the Templar Order began to decline.  (16%)","52"
"206","B.
European nations abandoned their goal of controlling the Holy Land.  (21%)","52"
"207","C.
fewer knights were willing to embark on crusades.  (9%)","52"
"208","D.
the Templars would have seemed particularly dangerous to Philip the Fair.  (51%)","52"
"209","A.
The Templars swore oaths of poverty, chastity, loyalty, and bravery.  (9%)","53"
"210","B.
The list of charges included every crime and abomination.  (49%)","53"
"211","C.
Jacques de Molay declared that the Templars' confessions were lies.  (15%)","53"
"212","D.
The rulers of many countries did not believe the accusations.  (26%)","53"
"213","A.
Nobles throughout Europe provided money to the Order.  (7%)","54"
"214","B.
The Templars defied the attempted reforms of Henry III.  (46%)","54"
"215","C.
The Templars were absorbing crusaders and other knights into their ranks.  (17%)","54"
"216","D.
Clement V conspired to condemn the Templars on false charges.  (28%)","54"
"217","A.
grew to possess power far beyond what might be expected from their humble beginnings.  (12%)","55"
"218","B.
were actually a more powerful force in Europe than they were in the Holy Land.  (0%)","55"
"219","C.
possessed great power as an organization, which ironically brought them to ruin.  (83%)","55"
"220","D.
possessed sufficient power to challenge the rule of monarchs.  (3%)","55"
"221","A.
I only  (3%)","56"
"222","B.
I and II only  (31%)","56"
"223","C.
I and III only  (59%)","56"
"224","D.
II and III only  (4%)","56"
"225","A.
The original bell's cracking should have been predictable in advance.  (23%)","57"
"226","B.
Pass and Stow were misguided in adding copper to prevent the new bell from cracking.  (11%)","57"
"227","C.
The original bell's cracking was probably the fault of Whitechapel Foundry.  (44%)","57"
"228","D.
The original bell's cracking was probably not the fault of Whitechapel Foundry.  (20%)","57"
"229","A.
The later Pass and Stow version of the Liberty Bell cracked during tests performed just after its first recasting.  (51%)","58"
"230","B.
The later Pass and Stow version of the Liberty Bell included an inscription on its shoulder about proclaiming liberty.  (16%)","58"
"231","C.
The original Whitechapel version of the Liberty Bell had a similar copper-to-tin ratio as other defective bells.  (18%)","58"
"232","D.
The original Whitechapel version of the Liberty Bell remained undamaged throughout its journey from London to Philadelphia.  (12%)","58"
"233","A.
The process of casting large bells had long been a well-established craft.  (78%)","59"
"234","B.
The bell from Whitechapel Foundry may have been cast using inferior techniques.  (9%)","59"
"235","C.
The bell-making process results in bells that are massive but surprisingly fragile.  (3%)","59"
"236","D.
77% copper and 23% tin constitutes the ideal ratio for bell metal.  (8%)","59"
"237","A.
Why did the final bell crack, despite the steps Pass and Stow took to strengthen its alloy?  (18%)","60"
"238","B.
Why did the bell come to represent American freedom, when it had originally been made in England?  (13%)","60"
"239","C.
Why would the bell's core and cope have been made as separate pieces, instead of as a single mould?  (14%)","60"
"240","D.
Why was Whitechapel Foundry chosen to produce the original bell, rather than a foundry in America?  (53%)","60"
"241","A.
II only  (11%)","61"
"242","B.
III only  (0%)","61"
"243","C.
I and II only  (84%)","61"
"244","D.
I and III only  (3%)","61"
"245","A.
It was extremely reverential toward certain animals.  (4%)","62"
"246","B.
It was originally believed to have spanned a different time period in China's history.  (36%)","62"
"247","C.
It was an era of greater spiritual concern than any other period in Chinese history.  (31%)","62"
"248","D.
It was the first time in Chinese history in which any religious practices occurred.  (27%)","62"
"249","A.
undermines the passage author's main point.  (8%)","63"
"250","B.
shows the passage author made an oversight in presenting his or her main point.  (13%)","63"
"251","C.
does not significantly affect the passage author's main point.  (58%)","63"
"252","D.
strengthens the passage author's main point.  (19%)","63"
"253","A.
the criteria the Shang used to interpret oracle bones.  (48%)","64"
"254","B.
the role played by natural spirits in Shang religious belief.  (10%)","64"
"255","C.
the methods the Shang employed to gain favor from spiritual powers.  (25%)","64"
"256","D.
the reasons why the Shang viewed Di as ambivalent.  (15%)","64"
"257","A.
The Shang kings sometimes disagreed with their scribes about whether a prediction's results should be recorded.  (6%)","65"
"258","B.
The oracle bone inscriptions were records of past decisions rather than prospective actions of Shang kings.  (66%)","65"
"259","C.
The oracle bone inscriptions were more prominent in other Chinese dynasties.  (14%)","65"
"260","D.
The term ""Di"" referred not to a Shang high god but to any spiritual powers mentioned in the oracle bone inscriptions.  (13%)","65"
"261","A.
ancient inscriptions were fanciful in nature.  (5%)","66"
"262","B.
archaeological efforts were generally intended to influence politics.  (13%)","66"
"263","C.
a legend was formed to explain how the Sphinx was restored.  (71%)","66"
"264","D.
a supernatural intervention was necessary to save the Sphinx.  (9%)","66"
"265","A.
have had their historical significance diminished by advances in archaeological methods.  (4%)","67"
"266","B.
have impeded some of the archaeological research on the Sphinx.  (12%)","67"
"267","C.
suggest a commonality between the ancient and modern archaeologist.  (18%)","67"
"268","D.
are a factor that makes research on the Sphinx an interesting undertaking.  (64%)","67"
"269","A.
New archaeological theories bred controversy among established researchers.  (10%)","68"
"270","B.
The restoration of the Sphinx had increased in urgency and sophistication by the 1990s.  (13%)","68"
"271","C.
The major monuments of the Giza Plateau were built by civil servants.  (65%)","68"
"272","D.
Excavations of the Sphinx were planned and carried out prior to the 1800s.  (10%)","68"
"273","A.
After the dream, he committed to freeing the Sphinx but also desired to restore it.  (91%)","69"
"274","B.
On hearing the sun god speak through the Sphinx, he planned to obey the dream.  (5%)","69"
"275","C.
Once he had ruled Egypt for a while, he decided to restore the body of the Sphinx.  (1%)","69"
"276","D.
As a result of his devotion to the sun god, Upper and Lower Egypt became unified.  (1%)","69"
"277","A.
Rainfall caused damage to the surrounding monuments.  (2%)","70"
"278","B.
The Sphinx's appearance is less consistent with erosion from wind and sand.  (55%)","70"
"279","C.
The Sphinx is significantly older than the surrounding monuments.  (1%)","70"
"280","D.
The region around the Sphinx at one time had abundant rainfall.  (41%)","70"
"281","A.
diverged from the approaches to metaphysics that prevailed.  (10%)","71"
"282","B.
adapted their philosophical principles to embrace everyday issues.  (3%)","71"
"283","C.
disregarded the relevance of ontological issues to metaphysical studies.  (85%)","71"
"284","D.
developed theories that were long suppressed.  (0%)","71"
"285","A.
I only  (6%)","72"
"286","B.
II only  (16%)","72"
"287","C.
III only  (57%)","72"
"288","D.
I and II only  (19%)","72"
"289","A.
Dasein represents a process of overcoming ""thrownness.""  (49%)","73"
"290","B.
Dasein is shaped through overlapping subcontexts of meaning.  (8%)","73"
"291","C.
Dasein is uniquely characterized by existential introspection.  (18%)","73"
"292","D.
Dasein is informed by a nondualistic perspective of reality.  (23%)","73"
"293","A.
having a mode of Being that is not immediately apparent.  (26%)","74"
"294","B.
assuming different functions within a fluid system.  (47%)","74"
"295","C.
items laden with meaning apart from their contexts.  (19%)","74"
"296","D.
symbolizing the basic ingenuity of human beings.  (5%)","74"
"297","A.
In Heidegger's view, a dualistic approach to ontology cannot grasp the inherent structures of Being.  (9%)","75"
"298","B.
Heidegger thought his predecessors had neglected the most essential philosophical question.  (18%)","75"
"299","C.
According to Heidegger, we play a role along with other entities in co-creating the totality of Dasein.  (26%)","75"
"300","D.
Heidegger strove to address the issue of Being by reincorporating more fundamental aspects of metaphysical study.  (45%)","75"
"301","A.
The candidate refuses to deviate from her planned campaign strategy, even when her approval rating fluctuates.  (20%)","76"
"302","B.
The candidate discovers embarrassing personal information about her opponent's spouse but does not release it to the public.  (55%)","76"
"303","C.
The candidate continues to stress the platform on which she initially decided to run, even when polling shows that voters are more concerned with other issues.  (17%)","76"
"304","D.
The candidate compares records only for times in which she and her opponent both served in government, not stressing her own additional years of service.  (7%)","76"
"305","A.
I only  (52%)","77"
"306","B.
II only  (6%)","77"
"307","C.
I and III only  (25%)","77"
"308","D.
II and III only  (15%)","77"
"309","A.
Problems inherent to the role of judges as described in Aristotle's Rhetoric  (2%)","78"
"310","B.
The relative importance of written versus unwritten law as advocated in Aristotle's Rhetoric  (6%)","78"
"311","C.
Resolutions to a discrepancy between certain sections in Aristotle's Rhetoric  (88%)","78"
"312","D.
Effects of Athenian injustice on the instruction offered in Aristotle's Rhetoric  (2%)","78"
"313","A.
Aristotle was not especially concerned with consistency in his writings.  (14%)","79"
"314","B.
Aristotle saw it as more important to follow the universal law than the written law.  (21%)","79"
"315","C.
Extant copies of the Rhetoric's first chapter are the beginning of a revision reflecting Aristotle's mature view.  (39%)","79"
"316","D.
Aristotle had concluded that it was necessary to use dishonest orators' own tactics against them.  (24%)","79"
"317","A.
accepts only clients whose cases she believes to be just.  (53%)","80"
"318","B.
refuses to use emotional appeals in her arguments.  (14%)","80"
"319","C.
promises not to charge clients if they lose the case.  (0%)","80"
"320","D.
uses whatever tactics are necessary to win.  (30%)","80"
"321","A.
the research would support the idea that Athenian judges were vulnerable to being deceived.  (43%)","81"
"322","B.
the research would challenge the idea that Aristotle's view changed in regard to method rather than goal.  (22%)","81"
"323","C.
the research would support the idea that orators mistakenly argued for false or unjust positions.  (22%)","81"
"324","D.
the research would challenge the idea that dishonest orators were responsible for causing injustice.  (12%)","81"
"325","A.
the example of ""The Turk"" that had proved to be a fraud.  (6%)","82"
"326","B.
a mathematical proof that seemed to show machine chess to be impossible.  (16%)","82"
"327","C.
a personal belief that machines are limited to certain types of functions.  (66%)","82"
"328","D.
a prevailing opinion that the idea of machine chess was absurd.  (9%)","82"
"329","A.
What it means to win ""by flag.""  (1%)","83"
"330","B.
What it means for a game to end ""by stalemate.""  (7%)","83"
"331","C.
The reason behind the name ""Deep Blue.""  (88%)","83"
"332","D.
The reason behind the name ""The Turk.""  (1%)","83"
"333","A.
I only  (2%)","84"
"334","B.
I and III only  (74%)","84"
"335","C.
II and III only  (6%)","84"
"336","D.
I, II, and III  (17%)","84"
"337","A.
Marshall's move was not as impressive as the story suggests.  (5%)","85"
"338","B.
""Beauty"" in chess is highly subjective.  (5%)","85"
"339","C.
The supposed game may not have really occurred.  (2%)","85"
"340","D.
The reports about the game were exaggerated.  (86%)","85"
"341","A.
a computer's advantage over humans lies in its greater ability to calculate possible moves.  (47%)","86"
"342","B.
The Turk was a forerunner of modern chess computers.  (5%)","86"
"343","C.
Poe's reasoning about machine chess was flawed due to the technology of his time.  (34%)","86"
"344","D.
when humans play chess against computers, the humans always lose.  (13%)","86"
"345","A.
The strongest computers make human chess obsolete.  (12%)","87"
"346","B.
Some aspects of chess are less dramatic than people imagine.  (68%)","87"
"347","C.
Even people who do not play chess usually know a lot about it.  (13%)","87"
"348","D.
It is relatively rare for a game of chess to end in a draw.  (5%)","87"
"349","A.
The sequence of moves leading up to the checkmate was so beautiful that the expert let it play out.  (42%)","88"
"350","B.
The opponent's choice of moves demonstrated that he was an even stronger player than the expert.  (8%)","88"
"351","C.
Throughout the game, the moves made by the opponent were extremely unusual.  (31%)","88"
"352","D.
The expert believed that the opponent's attack was bound to eventually succeed.  (17%)","88"
"353","A.
the effect of performers on audiences.  (3%)","89"
"354","B.
the impact of the audience on performers.  (89%)","89"
"355","C.
the transformative nature of theater for audiences.  (3%)","89"
"356","D.
the ability of some performers to capture an audience.  (2%)","89"
"357","A.
Be willing to engage in theatrical experiments  (15%)","90"
"358","B.
Feel excited about the prospect of viewing the performance  (2%)","90"
"359","C.
Be attentive and expressive during the performance  (78%)","90"
"360","D.
Actively participate in parts of the live performance  (4%)","90"
"361","A.
A child is given a hearing aid and feels joy upon hearing sound for the first time.  (2%)","91"
"362","B.
Cheering fans at a basketball game encourage their team to score the winning points.  (92%)","91"
"363","C.
The memory of a childhood coach motivates an Olympic diver before her toughest dive.  (3%)","91"
"364","D.
A surgeon promises a patient's spouse that a surgical procedure will be successful.  (1%)","91"
"365","A.
affectionate.  (30%)","92"
"366","B.
impartial.  (15%)","92"
"367","C.
assenting.  (51%)","92"
"368","D.
adverse.  (2%)","92"
"369","A.
Performers are able to clearly gauge the audience's reaction during ""Shogun.""  (5%)","93"
"370","B.
Performers are capable of describing the audience's reaction to ""The King and I.""  (6%)","93"
"371","C.
Performers can predict the audience response to the upcoming production of ""Shogun.""  (78%)","93"
"372","D.
The audience members hold the actors responsible for the success of ""The King and I.""  (9%)","93"
"373","A.
discuss audience engagement with fellow actors after the first performance.  (14%)","94"
"374","B.
comprehend theater and the role of the audience from a historical perspective.  (5%)","94"
"375","C.
perceive the heightened feelings of the audience during a powerful scene.  (77%)","94"
"376","D.
become accustomed to a derisive audience after making a blunder on stage.  (2%)","94"
"377","A.
Unique methods of incorporating audience members into the first act of a play.  (4%)","95"
"378","B.
Audience members joining cast members on stage during the curtain call.  (16%)","95"
"379","C.
Impenetrable boundaries between the performers on stage and the spectators.  (75%)","95"
"380","D.
Live theatrical experiments involving spectators and performers.  (3%)","95"
"381","A.
Jericho's mysterious abandonment  (4%)","96"
"382","B.
Jericho's radical difference from other settlements  (60%)","96"
"383","C.
Jericho's agricultural similarity to other settlements  (33%)","96"
"384","D.
Jericho's dependence on the Dead Sea  (1%)","96"
"385","A.
An unusually trade-based economy  (15%)","97"
"386","B.
An unusually plentiful food supply for its population  (13%)","97"
"387","C.
An unusually fertile farmland  (1%)","97"
"388","D.
An unusually centralized government  (70%)","97"
"389","A.
Yes, because it is more consistent with the information that contemporaneous groups were largely dependent on hunting.  (1%)","98"
"390","B.
Yes, because it constitutes material evidence that the inhabitants of Jericho fashioned implements for hunting.  (6%)","98"
"391","C.
No, because the scholars suggest only that hunting would have been inadequate to sustain Jericho's population on its own.  (69%)","98"
"392","D.
No, because the arrowheads could have been acquired from other settlements through Jericho's trade economy.  (22%)","98"
"393","A.
The importance of sulphur to Bedouin society has increased in modern times compared to what it was in the seventh millennium B.C.  (2%)","99"
"394","B.
The use of salt was only one method of preparing and preserving food in ancient times.  (4%)","99"
"395","C.
Salt was a widely available resource throughout many settlements of the ancient Near East.  (64%)","99"
"396","D.
Items and tools from Sinai and Anatolia are difficult to distinguish from those made in Jericho.  (27%)","99"
"397","A.
to emphasize the point that other groups were often semi-nomadic.  (7%)","100"
"398","B.
to emphasize the point that the fortifications represented a significant undertaking.  (74%)","100"
"399","C.
to emphasize why Jericho's historical record has caused controversy.  (14%)","100"
"400","D.
to emphasize why Jericho's walls have become famous.  (3%)","100"
"401","A.
Braidwood's view would be challenged; Jericho's walls would be even older than originally supposed.  (61%)","101"
"402","B.
Braidwood's view would be challenged; Jericho's walls would be even stronger evidence of a trade economy.  (1%)","101"
